place_name,state_name
New York, New York
Los Angeles, California
Chicago, Illinois
Houston, Texas
Phoenix, Arizona
Philadelphia, Pennsylvania
San Antonio, Texas
San Diego, California
Dallas, Texas
San Jose, California
Austin, Texas
Jacksonville, Florida
Fort Worth, Texas
Columbus, Ohio
Charlotte, North Carolina
San Francisco, California
Indianapolis, Indiana
Seattle, Washington
Denver, Colorado
Washington, DC
Boston, Massachusetts
El Paso, Texas
Nashville-Davidson, Tennessee1
Detroit, Michigan
Oklahoma City, Oklahoma
Portland, Oregon
Las Vegas, Nevada
Memphis, Tennessee
Louisville-Jefferson County, Kentucky2
Baltimore, Maryland
Milwaukee, Wisconsin
Albuquerque, N.M.
Tucson, Arizona
Fresno, California
Mesa, Arizona
Sacramento, California
Atlanta, Georgia
Kansas City, Missouri
Colorado Springs, Colorado
Omaha, Nebraska
Raleigh, North Carolina
Miami, Florida
Long Beach, California
Virginia Beach, Virginia
Oakland, California
Minneapolis, Minnesota
Tulsa, Oklahoma
Tampa, Florida
Arlington, Texas
New Orleans, Louisiana
